permeability_mD
0.0000000000
35.4823543685
77.6668400334
128.0542219584
171.3463834510
217.6208879660
255.6363274937
295.7716900052
328.2642752118
362.9894471034
390.8655878921
421.2115276299
445.3807802586
472.2144631553
493.3956937332
517.3685973342
536.0908098098
557.6811794742
574.3407713297
593.9196851307
608.8362697361
626.7097384890
640.1488944060
656.5672094037
668.7398574001
683.8946979977
694.9549301922
708.9816470567
719.0331799345
732.0217243392
741.1313814067
753.1415191268
761.3543373727
772.4300108663
779.7816999165
789.9614165480
796.4861380236
805.8083517254
811.5416295422
820.0456933963
825.0237045299
832.7482362940
837.0057501724
843.9868807589
847.5562083731
853.8276495940
856.7398283914
862.3351091074
864.6227681749
869.5783163544
871.2783923684
875.6354683638
876.7899577720
880.5941003424
881.2481760912
884.5462267889
884.7444681209
887.5804554173
887.3627903350
889.7743579720
889.1732692314
891.1898949397
890.2297207544
891.8730998140
890.5713652031
891.8575235398
890.2275928767
891.1698572822
889.2239803771
889.8359167724
887.5878888525
887.8855844043
885.3525717651
885.3559881274
882.5594049178
882.2928188465
879.2583693003
878.7500805323
875.5071827240
874.7887178998
871.3695332437
870.4745548585
866.9128115780
865.8758981441
862.2056539094
861.0610779829
857.3155322312
856.0961327050
852.3065719771
851.0427912633
847.2377251192
845.9568552813
842.1613729595
840.8870272435
837.1223785455
835.8741803757
832.1575635238
830.9510290073
827.2955575278
826.1421421972
822.5569624715
821.4642465383
817.9547838768
816.9267776975
813.4950960221
812.5326532598
809.1779168536
808.2792432113
804.9982662588
804.1595060227
800.9473676888
800.1632408184
797.0139335417
796.2783864022
793.1854568217
792.4922835936
789.4494222934
788.7928140850
785.7943537129
785.1693390811
782.2106300975
781.6133829208
778.6910304012
778.1190364452
775.2309972267
774.6830863222
771.8286403822
771.3049041362
768.4845249841
767.9861483652
765.2013029820
764.7303411687
761.9832504772
761.5423804566
758.8357674272
758.4280384234
755.7648844665
755.3934842764
752.7768074969
752.4448550668
749.8775178600
749.5878872070
747.0724364322
746.8276137751
744.3661544282
744.1681288528
741.7622312107
741.6124186312
739.2630584528
739.1622582351
736.8697890609
736.8181718963
734.5823274451
734.5794517630
732.3993749256
732.4442275410
730.3185209000
730.4095761560
728.3363677716
728.4716585927
726.4486763693
726.6258706682
724.6505190907
724.8669958662
722.9364301569
723.1893511669
721.3005456444
721.5869203480
719.7367295622
720.0534727053
718.2386854004
718.5826678292
716.8000546918
717.1681485574
715.4145049499
715.8036243907
714.0758089229
714.4829467504
712.7779158175
713.2001759094
711.5150134921
711.9496378265
710.2815791950
710.7259679763
709.0724156805
709.5241390023
707.8826697886
708.3394697976
706.7078318522
707.1676153456
705.5437164017
706.0045390358
704.3864271631
704.8464717077
703.2323117758
703.6898638645
702.0779134664
702.5313388316
700.9199277062
701.3676548253
699.7551714357
700.1956828287
698.5805707866
699.0124049960
697.3931706223
697.8149353718
696.1901660732
696.6005614831
694.9689530676
695.3668023650
693.7271921444
694.1114762473
692.4628779721
692.8327697990
691.1744062265
691.5293006257
689.8606298429
690.2001656130
688.5208980427
688.8449695106
687.1550736667
687.4638305358
685.7635269025
686.0573623981
684.3471060884
684.6266346375
682.9070885852
683.1731152286
681.4451164693
681.6986008238
679.9631228484
680.2051406755
678.4632548953
678.6949602097
676.9477992817
677.1703895023
675.4191147215
675.6338007325
673.8795749915
674.0875572382
672.3315243062
672.5339753165
670.7772454896
670.9752985667
669.2189401692
669.4136835150
667.6587193354
667.8511945574
666.0986020893
666.2898059217
664.5405202380
664.7314083395
662.9863265221
663.1778183507
661.4378045733
661.6307885425
659.8966791186
660.0920174544
658.3646253727
658.5631582902
656.8432769410
657.0458259154
655.3342318470
655.5416018714
653.8390565092
654.0520373055
652.3592876257
652.5786538199
650.8964320073
651.1229423141
649.4519644621
649.6863599502
648.0273238873
648.2703254240
646.6239077816
646.8762127872
645.2430654528
645.5053441217
643.8860902480
644.1589814174
642.5542111732
642.8383180288
641.2485842806
641.5444700823
639.9702841822
640.2784681733
638.7202959993
639.0412496293
637.4995079907
637.8336515413
636.3087050172
636.6564046843
635.1485629325
635.5101283829
634.0196439245
634.3953263273
632.9223928022
633.3123833249
631.8571342091
632.2615629753
630.8240707620
631.2430062783
629.8232821389
630.2567312146
628.8547251689
629.3026333648
627.9182350018
628.3804876488
627.0135274346
627.4899512541
626.1402024533
626.6305677944
625.2977490035
625.8017726810
624.4855509418
625.0028996216
623.7028940429
624.2331880876
622.9489738695
623.4917915223
622.2229042497
622.7777860142
621.5237260722
622.0901791395
620.8504161032
621.4279186844
620.2018955515
620.7899009976
619.5770381624
620.1749787887
618.9746776931
